provider,model,endpoint_type,context_length,rate_type,dbu_rate,input_divisor,is_hourly,sku_product_type,cloud
anthropic,claude-fable-5,global,all,batch_inference,357.142,1,True,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-fable-5,global,all,cache_read,14.286,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-fable-5,global,all,cache_write,178.572,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-fable-5,global,all,input_token,142.858,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-fable-5,global,all,output_token,714.286,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-fable-5,in_geo,all,batch_inference,392.858,1,True,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-fable-5,in_geo,all,cache_read,15.714,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-fable-5,in_geo,all,cache_write,196.428,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-fable-5,in_geo,all,input_token,157.142,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-fable-5,in_geo,all,output_token,785.714,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-haiku-4-5,global,all,batch_inference,114.286,1,True,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-haiku-4-5,global,all,cache_read,1.429,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-haiku-4-5,global,all,cache_write,17.857,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-haiku-4-5,global,all,input_token,14.286,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-haiku-4-5,global,all,output_token,71.429,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-haiku-4-5,in_geo,all,batch_inference,125.714,1,True,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-haiku-4-5,in_geo,all,cache_read,1.572,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-haiku-4-5,in_geo,all,cache_write,19.643,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-haiku-4-5,in_geo,all,input_token,15.715,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-haiku-4-5,in_geo,all,output_token,78.572,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-1,global,all,batch_inference,514.286,1,True,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-1,global,all,cache_read,21.429,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-1,global,all,cache_write,267.857,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-1,global,all,input_token,214.286,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-1,global,all,output_token,1071.429,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-1,in_geo,all,batch_inference,514.286,1,True,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-1,in_geo,all,cache_read,21.429,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-1,in_geo,all,cache_write,267.857,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-1,in_geo,all,input_token,214.286,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-1,in_geo,all,output_token,1071.429,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-5,global,short,batch_inference,178.571,1,True,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-5,global,short,cache_read,7.143,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-5,global,short,cache_write,89.286,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-5,global,short,input_token,71.429,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-5,global,short,output_token,357.143,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-5,in_geo,short,batch_inference,196.429,1,True,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-5,in_geo,short,cache_read,7.857,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-5,in_geo,short,cache_write,98.214,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-5,in_geo,short,input_token,78.571,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
anthropic,claude-opus-4-5,in_geo,short,output_token,392.857,1000000,False,ANTHROPIC_MODEL_SERVING,AWS
